"","cdc28_13_37_2h_rep1_Aligned.sortedByCoord.out.bam","cdc28_13_37_2h_rep2_Aligned.sortedByCoord.out.bam","cdc28_13_37_2h_rep3_Aligned.sortedByCoord.out.bam","cdc28_13_37_8h_rep1_Aligned.sortedByCoord.out.bam","cdc28_13_37_8h_rep2_Aligned.sortedByCoord.out.bam","cdc28_13_37_8h_rep3_Aligned.sortedByCoord.out.bam","WT_37_2h_rep1_Aligned.sortedByCoord.out.bam","WT_37_2h_rep2_Aligned.sortedByCoord.out.bam","WT_37_2h_rep3_Aligned.sortedByCoord.out.bam","WT_37_8h_rep1_Aligned.sortedByCoord.out.bam","WT_37_8h_rep2_Aligned.sortedByCoord.out.bam","WT_37_8h_rep3_Aligned.sortedByCoord.out.bam"
"YGR200C",40,33,31,8,1,4,49,51,22,41,68,52
"YGR191W",29,39.5,53,25,13.5,12,43,52.5,35,63,61.5,48
"YGR270C-A",1,1,1.5,0,0,0.5,1,2,2,3.5,2,2
"YGL227W",8,17.23,10,14.06,15,13,6,12,5,8,9,9
"YGR081C",7,10,10,1,0,1,14,12,10,10,14,9
"YGL243W",9,2,3,4,0,3,9,9,7,7,8,6
"YGL194C-A",5,2,2,2,1,0,1,5,0,2,1,1
"YGR148C",114,106.35,122.5,10,12.5,5,124,142,125.5,137,174,130.5
"YGL136C",10,7,8,6,3,3,9,9,7,11,8,11
"YGR276C",22,16,14,13,6,10,7,10,11,13,19,23
"YGL129C",13,16,16,12,2,3,15,13,17,12,17,20
"tR(UCU)G2",0,0.17,0.07,0,0,0,0,0.5,0,0,0,0
"YGR053C",0,1.12,1,1,1,1,3,2,0,0,2,2.1
"YGR069W",0.11,3,1,3.25,1,0,1,0.2,0.45,1.5,2.53,1.2
"YGL224C",15,12,11,6,8,4,6,7,11,9,12,12
"YGL193C",1.5,1,0.5,0,1.5,1.33,1.5,2,0.33,0.5,0.55,1.5
"YGL020C",10,5,12,2,0,2,7,14,11,2,16,12
"YGL177W",1,0,0,0,0,0,1,1,2,0,0,0
"YGL189C",237,249,263,26.5,18,21,241,251,206.75,245.5,300.5,292.5
"YGR122W",5.5,3.5,4,1,3,1,2,4.08,6.5,5,6.5,7.5
"YGL003C",9,5,12,3,6,3,1,8,7,13,17,14
"YGR210C",18,26,27,3,1,4,19,32,15.5,16.75,39,34
"tG(GCC)G1",0,0,0,0,0.5,0,0,0,0,0,0,0
"YGR079W",21,14,14,4,0,5,30,15,15,30,33,32.75
"YGL115W",12,14.5,17,15,2,4,14,14.5,19,17.07,21,15
"YGL105W",132.86,96.95,120.33,20.42,13.07,10.83,107.29,136.1,95.5,116.79,117.34,126.15
"YGR026W",20.22,14.07,19.05,3,2.11,8.05,14.07,26,13.29,28,13.1,19
"YGR087C",0.17,1,0,6,5,1,0.5,1,0.5,0.5,2,1
"YGR278W",5,8,10,8,3,2,5,4,8,9,9,10
"YGR042W",4,4,2,5,0,3,5,5,4,2,7,6
"YGR043C",4,7,5,119,87,88,2,2,2,2,1,3
"YGL165C",3.5,1,4.5,1.5,0,0,0.5,1.5,2,1,1.5,6
"YGR110W",0,0,3,3,2,7,0,1,0,5,5,1
"YGR089W",22,26,28.17,10,5,9,33,24.25,25,26,36,19
"YGL158W",5,1,0,15,10,10,0,6,0,2,2,0
"YGR262C",5,7,5,2,2,2,1,7,5,11,10,11
"YGL200C",18,33,33,3,7,8,42,35,22,28.5,41,31
"YGL117W",7,5,8,12,5,5,2,3,5,4,4,5
"YGL186C",10,18,23,17,12,12,12,14,13,19,22,16
"YGR010W",7.5,3.5,1.5,3.5,1,2,3,13,3,6,5.5,8.5
"YGR198W",21,19,21,7.1,3,3,14,17,22,28.5,29,35
"YGR137W",3.5,7.5,3,13.57,9.5,10.5,4,1,5,6.33,6,5.5
"YGL058W",15,15,10,10,6,10,11,13,9,8,10,4
"YGL226W",5,2,1,0,2,0,4,1,2,5,3,3
"YGL055W",164,128.5,142,65,61,57,193,240,179.5,277,361,337
"YGL184C",3,1.89,4.96,3,2.39,8,4,1.39,1,2,2.39,1
"YGL024W",0.5,0,0.5,0,0,0,3,1,0.5,1.5,2,1
"tV(AAC)G3",0,0,0,0.11,0,0,0,0,0,0,0,0
"YGL151W",23,24,30,12,5,12,31,24,24,28,23,30
"YGR101W",4,4,7,2,1,1,5,4,3,16,10,5
"YGL230C",2,0,1,1,1,0,0,0,0,1,1,0
"YGR103W",60,53,65,10,7,10,68,74,65,90,90.17,88
"YGR096W",2,4,4,4,0,2,3,3,3,0,5,1.12
"YGR112W",15,4,8,7,4,7,9,6,6,2,5,9
"tI(AAU)G",0,0,0,0,0,0,0,0.33,0,0,0,0.25
"YGL013C",22,22,16,9,9,4,17,30,18,23,34,25
"YGL076C",167.83,193.5,189.5,15.5,7.5,12.5,195.5,222,198,221.5,262.5,270.67
"YGR067C",1,1,1,3,2,2,3,2,1,0.33,2,2
"YGR094W",248.25,241,257,33,15.75,18,239.75,290.5,222.67,205,315.25,260
"YGL226C-A",3,3,3,1,0,1,7,7,7,2,8,3
"YGR045C",0,0,0,0,0,0,0,0,0,1,0,1
"YGR175C",133,105.5,153,36,13,19,146,166,126,121,148,129
"YGL008C",1052.42,1007.92,1018.06,145,93,94.5,1537,1807,1422.75,1460.75,1874.75,1729.25
"YGR115C",9.5,6,8.67,0.83,2,1.83,7.67,9.83,9.5,7.67,9.83,7.17
"YGR108W",7,5,5,4,4,5,24,19,24,25,30,35
"YGR218W",70.25,65,49,45,33,20,79,76.08,61,71,91,84.33
"YGR205W",3,3,6,6,6,3,3,2,3,4,7,2
"YGL073W",19.5,19,26,21,15,12,21.5,22.1,19,21,27.5,26
"YGL009C",172,188,178,45,21,24,131,164,133,182,231,208
"YGL095C",14.34,14.47,16.58,15.08,10.2,8.06,14.81,15.31,8,9.29,17.37,13.71
"YGL137W",76,67,98.25,27,18,22,76,91,69,73.25,105,80.5
"YGL214W",1,3,2.5,0,0,0,2.5,3,2.5,6,3,5
"YGR105W",4,5,3,2,0,0,4,3,9,4,4,1
"YGR001C",18,10,11,1,3,2,6,15,7,6,20,17
"tK(UUU)G1",1.9,3.9,3.76,3,2.1,1.71,2.74,3.5,1.29,3.77,5.36,2.6
"YGL217C",2.5,1.5,1.5,0.5,0,0,1.5,0.5,1,1,0.5,1
"YGL173C",118,99,89,47,33,30,114,152,121.5,126,171,145
"YGL086W",17,13,20,5,9,3,15,17,13,23,18,16
"YGR223C",4,5,5,6,6,4,5,3,3,4,3,5
"tS(AGA)G",2.2,1.9,2.31,1.6,2.4,0.9,1.51,2.12,1.27,1,1.1,0.8
"YGR077C",13,9,13,0,9,6,16,21.28,13,13,16,27
"YGL052W",0.25,1.5,0,1,0,2,0.5,1.5,1,0.5,0,2
"YGR285C",134,134,118,20,10,13,115,134,112,108.5,155,142
"YGL080W",7,6,10,4,2,4,1,5,6,4,6,8
"YGL207W",65,68,80.17,27,17,12,83,83,67.17,68,77.07,79.75
"YGR261C",23,29.75,27,19,13,17.11,18,34,27,24,33.05,20
"YGR226C",0,0,0,0,0,0,0,0,0.5,0,0,0
"YGL140C",40.04,43,32,30,25,18,47,47,52,51,41,55
"YGL078C",50,54,50,14,4,7,34,55,52,34,75,62
"YGL199C",2.5,0.5,1,0,1.5,0,2,4,0.5,2,2.5,1
"YGR164W",0,0.17,3.07,0,0,1,2,2.5,0,3,3,1
"YGR150C",22,20,31,6,6,0,15,21.08,16.25,18,24.67,22
"YGL006W-A",0,0,0,0,1,0,0,0,0,1,0,0
"YGR196C",5.25,8,8,8,5,14,8,6,8,8,4.5,7
"YGL197W",49.25,43.64,44.21,49,39.14,34,51.67,42.39,41,48.5,43.14,45
"YGR136W",17.25,15.75,16.5,49.57,28.5,31.5,12.21,13.11,15.25,10.8,21.21,19.61
"YGR153W",4,3,7,16,8,10,1,6,4,2,2,3
"YGL159W",5,4,8,0,3,3,5,4,5,3,4.12,8
"YGR286C",19,22,24,20,15,12,9,14,9,15,14,14
"YGL254W",3,3,3,2,0,3,3,6,1,3,7,7
"tH(GUG)G1",5.48,4.98,4.43,6.81,2.97,1.86,2.93,3.57,1.71,3.29,3.57,2.71
"YGR023W",10,13.5,18.5,23.5,21,28.5,12.5,17,10,10.5,11.5,16
"snR48",2,0,1,0,1,0,0,1,0,2,1,3
"YGL063W",5.5,4,4,1,1,1,3,1.5,2,1.5,3,5.5
"YGL154C",3,7,2,1,3,0,4,2,3,5,5,4
"YGL035C",21,13,25,14,3,12,16,24,20,21,22,17
"YGR009C",24,11,15.17,9,8,4,14.06,13,14,10,22.17,8.5
"YGR034W",131.5,120.5,122.5,7.5,3,6.5,109.5,114,112,133.5,149.25,129.5
"YGL064C",10,4,16,3,4,1,11,13,8,12,14,15
"YGR118W",115.5,115.75,115.5,7.57,6,13,105.5,129.5,98.5,116,162,133.5
"YGR277C",6,7,9,3,4,1,10,9,10,9,11,7
"YGR232W",8,9,5,0,1,3,8,3,6,4,9,11.5
"YGR227W",16,11,15,4,2,2,14,14,8,7,13,15
"YGL142C",13,16,16,10,10,7,15,15,11,18,5,13
"YGL143C",7,8,8,1,1,4,4,5,3,6,9,6
"YGR222W",2,2,5,5,2,2,3,5,4,7,4,4
"YGL045W",3.5,5,9,15,13,15,5,5,4.25,6,8,13
"YGL253W",120,132,151,78,40,59,122,150,124,136,158,143
"YGR257C",12,7,9,16,8,10,4,18,12,10,16,15
"YGL131C",19.5,17.5,11.5,32.5,9.5,10.5,19,13,19,22,14.5,24
"YGR064W",0,2,1,1.5,2.5,2.5,2.5,1,1,2,0.5,1.5
"YGR263C",5,4,8,6,0,0,7,4,3,4,6,9
"YGL049C",71.67,60.12,58,68,38,48,51.75,56,52,62,63,58
"YGR296C-B",0.06,0.38,0.25,0.06,0.17,0.25,0.38,0.38,0.19,0.44,0.38,0.42
"YGL202W",77,84,70,25,19,22,52,62,45,62,83,63
"YGL258W-A",0,0,0,1,2,0,0,0,1,0,1,0
"YGR133W",1,3,1,1,1,2,3,0,2,3,3,3
"YGR109C",2,1,1,1,0,1,2,1,1,2,1,4
"YGR037C",30,21,25,18,10,16,26,25.75,17,21,28,35
"YGL077C",40,35.67,37,14,10,7,34,36,41,37,54,35
"YGR111W",12,19,13,12,6,4,8,8.75,19,5,16,17
"YGR016W",0,1,2,1,0,0,0,2,4,0,1,0
"YGR245C",40,44,47,11.22,11,6,43.33,55,35,55,70,71.25
"YGR287C",2.25,1.25,4.5,47.67,49.5,37.25,1,2,1,1,0,2
"YGL244W",23,20,24,4,8,11,34,27,27,37,23,33
"YGL057C",2,10,2.25,0.12,2,0,4,4,3,5.17,7,5
"YGL187C",18,11,11,16,7,14,13,13,12,5,7,7
"YGR180C",95,93,119.75,120,83,80,108,131,120.5,108,137,127
"YGR116W",75.5,74,95.67,17.83,27,18.83,89.67,97.83,82.5,81.67,91.83,84.17
"YGL181W",12,8,16,5,4,7,9,6,5,4,10,8
"YGR202C",14.06,11,11.1,3,4,4,9.17,14.25,13.06,10.5,15,12.17
"YGL127C",5,10,11,2,1,0,7,1,1,3,8,6
"YGR203W",5,4.11,2.1,0,1,0,6,0,3,1,5,1.05
"YGL150C",78,73,65,45,18,34.83,55.5,89.33,73,70.58,78.12,70.83
"YGR134W",12,21,14,6,4,3,9,15,14,15,15,18
"YGR095C",17,3,9,5,1,8,7,8,11,10.75,13,10
"YGR214W",165,151.5,172,15,5,13,179,188.67,154.5,194,219,216.5
"YGR269W",1,2.5,1,1,1,1,1,1.5,0,0.5,1,2.5
"YGR176W",0,0.5,0.5,0,0,0,1,1,4,1.5,2.5,0.5
"YGL263W",0,0,0,0,0,0,0,0,0,0,0,0
"YGR057C",10,2,2,0,3,1,1,3,9,5,4,4
"YGL074C",1,1.5,0.5,0.5,1,0,0.5,1.5,0,2.5,1,1.5
"YGR007W",10,6,19,2,5.06,4,8,19,8,12,17,15
"YGR241C",18.5,21.5,18,15,14.5,13,17,23,19,23,17,17.5
"YGR127W",4,5,5,5,2,1,5,2,5,6,4,5
"YGL219C",5,8.5,11.5,3.5,7,4.5,9,6,11,10.5,9,11.5
"YGL061C",2,4.5,5,1,0,0,6,1,3,4,3.17,3
"YGR083C",46,46.5,38,9,11,12,37.25,44,29,34,44,38
"YGL038C",9,13,14,4,0,5,15,18,15,11,11,10
"YGL047W",5,0,4,4,1,2,3,5,6,8,7,4
"YGR244C",50,47,54,51,41,35,32,39,31,35,34,32
"YGR289C",1,3,10,27.5,27.5,21.5,0.5,1,0,1.5,2,0
"YGL089C",1,0,1,1,0,0,0,1,0,0,1,1
"YGL180W",6.5,7.5,6,22,19,15,5,9.5,10,12,7,5
"YGR146C",28,33.5,31,28,18,18.5,9,7,14,10,10,15
"YGL149W",0,2,1,0,0,0.5,2.5,3,2,1,1,2.5
"YGL242C",13,10,5,3,0,0,9,7,7,10,5,10
"YGR106C",27,38,41,2,9,4,36,28,24,32,36,41
"YGR004W",7,7,5,3,3,2,4,9,2,3,5,3
"YGR209C",18,14,17,20,18,18,12,18,6,18,19,7
"YGR052W",1,1,1,16,7,11,1,0,2,1,1,1
"YGR158C",13,7,9.17,4,2,1,9,18,6,16.5,16,13
"YGR003W",13,13,12,4,2,4,9,9,10,14,12,12
"YGR219W",2,4.5,3,2,2,0,7,2,3,4,6.5,5
"YGL247W",4,2,2,2,5,5,1,6,4,3,5,7
"YGR170W",24,25,34,29,14,10,27,25,15,31,28.25,35.5
"YGR246C",10,4,9,8,3,12,11,5,4,11,14,10
"YGL183C",1,0,0,1,2,2,0,0,0,0,0,1
"YGR160W",18.5,28.75,31.58,2,2,0.5,22.5,32.5,25.08,26.25,39.75,34
"YGR204C-A",0,1,0,0,0,1,0,1,0,0,0,1
"YGR039W",1,2,7,0,0,0,1,0,1,0,3,3
"YGL059W",1,2,4,4,2,1,6,6,3,5,3,1
"YGL123W",289.03,285.75,319,20,19,18,309.25,377.75,276.5,321.5,408,400
"YGL099W",31,19,23,10.5,3,4,18,34,16,24.5,52,39.12
"YGR102C",5,10,9,3,2,1,8,5,6,3,5,7
"YGL233W",9,18,20,9,5,10,17,30,22,24,26,21
"YGL072C",1.5,1.5,2.5,0.5,2,1,1,3.5,0,2.5,2,2.5
"YGL056C",25,22,31.17,7,8,12,26,24,17,27,25,31
"YGR104C",1,4,4,2,5,0,5.06,3,4,2,5,4.06
"YGR240C",306.31,303.67,326.56,169.68,112.25,110.33,317,396.17,281,324.85,405.5,358.78
"YGR243W",0,1,1,10,6,5,0,0,0,2,0,1
"YGR275W",4,3,7,4,0,1,2,4,3,3,6,7
"YGL088W",198,195.83,211.92,392.33,273.5,359.67,176.5,196.5,157.33,191.5,199.83,197
"YGR020C",28,22.5,26,4,4,8,16,28,24,28,31,25
"YGR100W",21.12,25.5,26.12,24.38,15.38,14.5,19.12,19,20.12,18,20.12,29.25
"YGR231C",29,25,24,6,4,6,23,28.5,23,20,26,18
"YGR215W",7,11,7,1,0,1,5,5,8,4,11,9
"YGR018C",2.25,2.5,2.33,0.5,0,0.5,2,1.5,4,4,4.5,3.5
"YGL152C",1,3,2.5,1,2,0,1,3,2,2.5,1,3
"YGL212W",3,2,2,4,1,1,4,1,2,4,3,5
"YGL066W",9,12,8,7,2.07,7,11,11,10,10,6,10
"YGL060W",12,8,3,5,3,2,8,18,11,7,9,11
"YGL185C",5,6,3,6,5,1,4,7,7,5,11,3
"YGR145W",37,31,42,9,3,5,32,36,29.06,33,51,38
"YGL011C",25,25,27,26,12,6,31,45,28,21,27,19
"YGR147C",5,11,9,3,4,2,8,12,6,16,10,11
"YGR036C",2,7,7,3,0,2,6,9,4,4,10,6
"YGL122C",27,26.75,27,27,13,16,21,28,24,33,32,44
"YGL261C",0.17,0.75,0.75,0.1,0.12,0.29,0,0.14,0.45,0.42,0,0.1
"YGL041C",0,0.5,2,0.5,0,0,2,2,1,1.5,1.5,0.5
"YGR099W",4,1,6,2,1,2,7,7,8,5,12,11
"YGR046W",6.1,10.45,8.23,11.54,4.04,1,4.25,10.72,12.07,14.25,12,7.36
"YGL188C-A",0,0,0,0,0,1,0,1,0,0,0,0
"YGR216C",17,8,8,3,4,2,4,9.17,9,7,8,7
"tG(UCC)G",28,38.33,25.63,7.92,5.33,6.33,27.17,26.33,15.67,15,9,14.33
"YGR047C",9,13,6,6,10,14,13,14,6,20,16,12
"YGR238C",7,6,8.17,10,6,11.25,9.06,9,8,12,12.17,9
"YGR282C",145.3,149.5,153.63,168,100.55,117.25,124.9,153.07,126.5,132.15,169.38,135.13
"YGL132W",1.5,1.5,1.5,0.5,0.5,0.5,1,1,0,2,2.5,2
"tA(AGC)G",0,0,0,0,0,0,0,0,0,0,0,0
"YGR169C",9.06,6.5,9,3.12,2,2,8,2,7,6,7,10
"YGR063C",5,4,3,3.5,3.5,2.5,2.5,5,3,4,2.5,4.5
"YGR256W",3,3,2,141,70,103,4,2,2,3,4,6
"YGL036W",28,32,38,36,36,29,24,38,27,28,25,31.5
"YGR192C",2106,2006.67,2096.67,825.17,621.04,621,2140.53,2515.83,2029.25,2572.7,3179.16,2979.92
"YGL191W",15,18,16,41,28,26,10,11,10,14,12,13
"YGR051C",0,0,1,0,0.25,2,0,0,0,0,0,0
"YGR013W",9,12,14,12,3,4,10,14,8,9,12,11
"YGR123C",20,22,34,2,3,3,19,33,23,15,28,30
"YGL209W",11,20,22,0,0,1,4,13,9.67,5,1,6
"YGL163C",22,9,21,20,12,20,23,17,11,17,22,23
"YGR296C-A",0.11,0,0,0,0,0,0,0,0.06,0,0.05,0
"YGL178W",43,42,48,28,12,11,34.83,36,35,34,39,32
"YGL092W",68.5,59,69,12,7,28,72.5,93,72,102.75,94,84
"YGR132C",19,19,23,19,9,8,17,21,21,16,14,14
"YGL208W",6,4,6,6,6,9,5,6,8,5,4,9
"tL(GAG)G",1,2,1,0,1,0,1,0,2,0,0,1
"YGR059W",1.25,1,2.11,0,2.25,0,0,1,1.25,0.1,0.25,2.11
"YGR114C",2,2,3.67,0.33,0,0.33,1.67,3.33,2,1.67,3.33,1.67
"YGR128C",40,33,35,6,1,2,45,44,40,59,64,52
"YGL246C",8,7.5,11,5,2,5,11,17,6,10,12,20
"YGL190C",23,25,11,4,2,5,23,30,25,27,32,29
"YGR033C",12,5,3,4,5,3,13,11,8,8,6,10
"YGL112C",15,11,16,9,3,0,20,19,20,17,29,17
"YGL001C",19,23,24,12,12,3,19,15,25,19,18,9
"YGR168C",8,9,8,5,3,7,4.17,4.17,6,5,8,4
"YGL093W",11,12,11,7,2,5,15,15,16.08,12.75,22.5,9
"YGR120C",8,4,11,2,3,0,6,9,8,7,5,5
"YGR027C",125,105,131,7,8,7,160,184.75,115,168,184,149
"YGL259W",0,1.5,0.5,1,2.5,1.5,0,0.5,1,0,1.5,0
"YGR294W",0.28,0.33,0.5,0.15,0.62,1.29,0,0.14,0.25,0.75,0.58,0.05
"YGR124W",89,91.5,83.1,15.5,9,15,71.5,101.5,67.5,83,122,106
"YGL103W",124.14,126.92,124,24.5,13,11.5,127.42,133.08,110,159.83,161.83,138.25
"YGL062W",68.25,56.42,64.5,52.5,59.75,46,47.75,61.36,49.67,66,72.57,64.25
"YGR049W",19,19,13,21,9,13,12,11,11,6,9,7
"snR39",21,34,44,20,10,15,29,38,20,44,39,23
"YGR076C",5,3,6,2,1,4,2,7,2,2,3,2
"YGL161C",7,11,8,6,1,3,9,18,9,5,12,12
"YGR062C",0,2,4,1,1,1,2,3,6,5,5,2
"tV(AAC)G1",0,0,0,0.11,0,0,0,0,0,0,0,0
"YGL237C",2,4,0,3,3,1,1,4,0,6,4,3
"YGR024C",10,5,10,4,2,1,7,13,10,10,7,12
"YGR184C",73,68,66,58,38,36,74.06,99,64.25,62.5,111,88
"YGR292W",3.5,4,5.5,117.42,99,91.42,1,2,0.5,2.5,1,1
"YGR151C",2,2,3,0,0.5,0.5,4.5,3.5,4,2.5,4.5,3.5
"YGL034C",1,0,0,0.2,0,0,0,1,0,0,0,0
"YGL067W",21,10,16,7,4,7,6,18,17,15,18,18
"YGR072W",7,10,8,5,4,0,11,16,14,10,5,17
"YGL229C",3,2,2,1,3,4,3,6,2,8,6,4
"YGR055W",23,21,26,48,39.75,36,31,33,34,42,25,24
"YGL044C",7,8,4,2,1,2,8.75,13,8,10,5,14
"YGL054C",17,15,15,2,1,2,13,11,9,12,12,16
"YGL119W",11,10.64,16.21,6,6.14,9,14,14.14,11,12,14.14,14
"YGR068W-A",1,0,0,0,0,0,0,0.5,0.5,0.5,0,0.5
"YGR206W",3,2,3,3,3,0,6,3,5,5,2,5
"YGR121W-A",0,0,0,0,0,0,0,0,1,1,0,0
"YGL130W",12.5,9,14,24,18,20,7.25,8,8.5,9,5,12
"YGL042C",4.5,7,6.5,1,0,0,3.5,9.5,3.5,6.5,5.5,5
"YGR090W",120,103,101,23,19,16,86,82,76,78,120,107
"YGR221C",9,8,6,5,4,1,5,8,6,5,5,9
"YGR143W",13,9,21,22,8,17,14,18,12,21,19,19
"tR(UCU)G1",0,0,0.39,0,0,0.25,0,0,0,0,0,0
"YGL218W",3,0.5,4.5,0.5,1,2.5,2,2,2,2.5,2,2.5
"YGL198W",4.5,1.5,3,2,1.5,1,2,4,3.5,2,5.5,3
"YGL083W",10,17,11,5,6,3,17,16,13,18,21,24
"tC(GCA)G",0.25,0,0.25,0,0.25,0,0.25,0,0,0,0.25,0
"YGR071C",5,10,10,2,4,1,7,10,8,10,14,13
"YGR259C",7.5,5,7,2.5,1,2.5,6.5,9.5,6,8,11,12.5
"YGR058W",6,1,1,10,0,9,3,7,4,4,5,4
"YGL195W",238,248.67,215,51,36,45,257,309,236,241.5,349,312
"YGL192W",3.5,5,2,4.5,1,4.33,5.5,8,3.83,3.5,4.5,6
"YGL206C",195,179,226,52.5,33,33,180.25,215,192,160,211,182
"YGR060W",129,111.75,144,39,35,39,127,195,126,114,166,147
"YGL257C",8,6,12,4,4,8,9,10,8,15,8,13
"YGL236C",8,13,13.5,7,8,1,9,7,13,11,6.5,8
"YGR138C",24,29.5,25.6,26,16,29.5,34.5,36.5,35,12,15.5,21
"YGR015C",4,6,2,1,0,0,2,3,3,0,6,2
"YGL023C",20.62,19.4,16.81,7.79,3.64,2.77,11.98,25.96,9.23,19.25,22.97,19.44
"YGL144C",6,10,10,2,2,1,6.5,8.5,13,12,8.07,13
"YGL071W",11,21,25,9,8,2,20,22.5,22,25,33,34.5
"tK(CUU)G3",0,0,0,0,0,0,0,0,0,0,0,0
"YGR080W",14,16,5,2,1,2,13,12,8,5,9,9
"YGL116W",11.25,9.17,7.11,5.25,3,3.67,15,14.33,12,15.96,9.11,14
"YGR035C",0.25,1.88,2.25,3,0,1,1.17,1,1,3.25,4.25,2
"YGL201C",15,14.5,13.25,4,2,7,22,27,19,24,31,31.5
"YGR212W",7,4,4,9,3,3,6,8.08,9,3,2,6
"YGR154C",5,4,3,2,2,1,3,1,3,5,2,0
"YGL241W",12,9,18,2,1,1,12,18,10,13,13,20
"YGL262W",0,0,0,0,0,0,0,0,0,0,0,0
"YGR247W",2,2,1,2,3,2,7,4.5,0,4,4,4
"YGR199W",9,15,14,2,2.5,2,29,18.08,15,21,20,19
"YGL260W",0,0,0.45,0.33,0,0,0,0,0,0,0,0
"YGR179C",2,7,3,0.5,1,1,3,3,3,4,4,7
"YGR011W",2.5,1.5,1,0.5,0,0,2,0,1,1,1.5,2.5
"YGL111W",23.04,20,26,11,8,12,19,27,27.25,31.12,38.88,27
"snR39B",64,94.75,76,51,53,42,49,56,56,72,71,74
"YGR073C",1.5,4,1,0.5,0,1,1,1.5,0,1.5,0.5,3.5
"YGR155W",126,132.12,141,49,35,30,113.5,161,133,136,167.5,174.1
"YGL114W",16,10,15,43,34.07,39,18,21.5,10,16,16,16.17
"YGL255W",22,23,16,35,21,36,11,9,7,21,17,11
"YGR066C",0,1,1,14,21,24,2,1,0,0,1,2
"YGR233C",51,53,58.75,12,7.33,2,45,70,37,63.5,63,53.5
"YGR092W",10,12,16,23,24,18,14.5,14,16,9,13,26
"YGL041W-A",2,1,2,0.5,1,0,2,4.5,2,3,4.5,4
"YGR171C",11,12,5,3,3,1,9,8,10,5,14,11
"tW(CCA)G2",1,2.33,4.33,2.33,2.67,2.17,2.67,3.83,3.33,3.17,4,4.83
"YGL171W",19,13,18,7,4,9,26,22,23,26,22,38
"YGL029W",6,8.67,11,0,1,0,5,12,8,6,8,6
"YGR040W",11,9,7,5,2,1,9,17,12,10,17,14
"YGR220C",10,6.5,12,2,4,1,11,11,6,8,7.5,9
"YGR268C",5,2.5,5,8,4,5,3,1.5,2,3.5,4,3.5
"YGL147C",131.5,153.83,148.75,5.5,4.5,3,133,182.5,139,178,209.5,205.5
"tK(CUU)G1",0,0,0,0,0,0,0,0,0,0,0,0
"YGR144W",0,1,2,2,2,0,0,1,0,3,1,1
"YGR178C",59,52,56,32,22,31,56,78.07,55,60,86,67
"YGR113W",1,4,2,1,0,2,4.07,5.25,5,7,0,5.07
"YGL203C",39,31,24,7,6,9,31,37,24,18,44,30
"YGL048C",25,36,29,12,19,19,23,36.75,36,39,40,38
"YGR207C",13,14,9,6,3,1,11,13,9,7,11,11
"YGR258C",27.75,20,24,14,15,18,19,26,25,20,32,32
"YGL091C",6,5,11,3,5,3,12,6,6,5,8,10
"YGR093W",11,15,11,3,3,6,15,19,13.25,11,23,9
"YGR119C",19,22,22,7,2,3,23,27,23,32,37,34
"YGR213C",1,6,3,3,5,2,3,2,4,2,0,2
"YGR061C",169,170.1,188,95,75,65,133,170,114.17,114,144,164
"YGL182C",0,1,0,0,0,0,0,0,0,0,0,0
"YGR139W",0,2,0,1,0,2,0,0,0,0,1,0
"YGR121C",9.5,10.96,6.6,6.29,5.65,4.75,13.75,17.83,21.25,15.75,13.33,23.79
"YGL043W",17.5,12,12.5,2,0,5,8.5,22.5,9.5,13.5,19.5,17
"YGR280C",23,21,27,8,2,6,23,14,15,26,31,25
"YGL085W",5,6,2,8,5,3,4,2,4,3,7,2
"YGL031C",165.5,134.1,159.25,14.5,14.5,11,187,176.5,142.5,183.75,179,219.5
"YGR117C",9,7.25,18.5,5,1,5,7.25,15,10,7,6.25,9
"YGR254W",473.5,512,562.8,476.33,368.86,391.5,424.83,434.33,372.5,437.5,532.11,536.33
"YGR235C",15,17,19,8,6,2,17.5,24,17.05,12,19,16
"YGL124C",12.47,5.98,8.71,6.38,10.77,2.71,8.5,8.04,9.25,10.97,8.17,8.17
"YGR236C",0,0,0,5,4,8,0,0,0,0,0,0
"YGL164C",14,16,8.75,1.5,4,6,13,11.5,4,6,7,9.5
"YGR293C",0,0,0,0.55,0,0,0,0,0,0,0.75,0.05
"tL(CAA)G1",3.29,3.8,5.26,4.49,3.1,3.1,3.54,2.4,2.89,3.14,4.13,3.15
"YGR264C",86,77,101.5,9,9.25,1,113.5,90.5,92,101.75,138.5,111
"YGL234W",68,69,70,20,17,17,49,54,47,66,69,84
"YGL109W",1.5,2,1,0.33,1,0.5,1,2,1,1.5,2,3
"YGL238W",55,52.25,41.5,14,20,19,61,72,39.5,63,73.67,59.5
"YGL041C-B",0,0.5,0,0,1,0,0,0.5,0,0.5,0,0.5
"YGR056W",23,17.75,20.67,14,9,8,14,19,24,16,31,20
"YGR201C",0,3,4,20,15,16,5,2,3,3,6,1
"YGR239C",1,2,1,1,3,0,3,4,1,2,6,4
"YGR169C-A",8,8,6.25,1,1,0,4,8,5,6,2,7
"YGR185C",73,61,56,8,10,8,59,70,56,59,76,64
"YGR189C",143,139,151,139,107.75,101,149,179,143,111,115,138
"YGR022C",1,0.5,1.5,0.5,1,2.5,0.5,1,1,0.5,0.5,2
"YGR290W",0,0,0,1.5,2.5,0.5,0.5,0,0,1,0,0
"YGL205W",2,4,4,7,5,3,2,4,4,1,3,3
