"","cdc28_13_37_2h_rep1_Aligned.sortedByCoord.out.bam","cdc28_13_37_2h_rep2_Aligned.sortedByCoord.out.bam","cdc28_13_37_2h_rep3_Aligned.sortedByCoord.out.bam","cdc28_13_37_8h_rep1_Aligned.sortedByCoord.out.bam","cdc28_13_37_8h_rep2_Aligned.sortedByCoord.out.bam","cdc28_13_37_8h_rep3_Aligned.sortedByCoord.out.bam","WT_37_2h_rep1_Aligned.sortedByCoord.out.bam","WT_37_2h_rep2_Aligned.sortedByCoord.out.bam","WT_37_2h_rep3_Aligned.sortedByCoord.out.bam","WT_37_8h_rep1_Aligned.sortedByCoord.out.bam","WT_37_8h_rep2_Aligned.sortedByCoord.out.bam","WT_37_8h_rep3_Aligned.sortedByCoord.out.bam"
"YEL060C",84.5,73,79.25,299.5,240,260.25,67,79,90.17,62.17,100,85
"YEL052W",20,14,8,9,4,10,10,16,9,12,17,12
"YER149C",4.5,2,1.5,0,0,0,6,6.5,1,6,6,4.5
"YER111C",26,28.67,26.17,11.17,18,12,26.5,29,20,31.17,27.17,18
"YER081W",15.5,10,9.5,49,31.5,38,6,15,10,19.5,35.5,30.2
"YER010C",7,6,5,4,4,3,6,7,5,6,4,6
"YER018C",3.69,2.5,5.25,1,1,0.12,2.75,5.25,4.12,3,3.25,4.29
"YEL076C",0.5,0.36,0.43,0.31,0.05,0.19,0.89,2.22,1.05,1.13,1.66,1.14
"YEL018C-A",2,0,0.5,0.5,0,0,2,1.5,2,1.5,3,1.61
"YER072W",37,39,42,12,6,4,44,53,35,52,56,58
"YER093C",22,20,25,17,8.25,23,24.17,24,22,28,41,31
"YER178W",76,83,83,19,12,12,67,91,70,89.5,123,108
"YER030W",13,17,11.75,4,3,4,8,17.75,9,14,15,15
"YER128W",1,3,4,4,0,1,2,6,2,6,4,6
"YER003C",16,23,18,5,7,7,28.17,40,27.5,29,32,37
"YER163C",3,16,12,3,2,5,10,11,7,9,12,15
"YEL005C",9,5,4,9,1,3,4,4,4,1,2,2
"YER173W",1,5.5,6.5,2,2,6,7.5,5.5,7.5,4.5,6,4
"YEL065W",3.5,2.25,3.75,0,0,2,2,3,6,13,13,6.17
"YEL055C",37,36,42,14,4,9,72,59,71,77,86,89
"YER029C",3,6,5,2,0,2,5,10,6,16,5,9
"YER089C",27.33,20.5,32,15.33,9,11.67,36.67,27,38.5,35.33,39.33,36.17
"YER179W",5.12,2,3,7,3,2,2,2,2,1,7,1
"YEL011W",12,9,7,131,90,77,5,12,10,6,5,9
"YER166W",53.46,45.83,59,37.33,17.92,12.83,63.38,80.08,68.17,72.58,82.04,74.07
"YER061C",9.5,4,7,8,12,12,3,9,8,8,9,8
"YER082C",39,37,31,57,35,33,38,50,37,22,54,44.5
"YER118C",7.17,18,16,4,0,2,16,16,18,23,29,20
"YER152C",11.5,9.5,5,7,2,6.5,15,15.5,15.5,12,20,18
"YER107C",11.5,8,14,2,1,0,15.5,18.5,11,12,16,9
"YER020W",13,11,12.75,17,10,15,10,18,13,21,15,13
"YER125W",45,56,64,21,21,9,55,78,45,61,84,60
"YER122C",38.75,37.5,31,22,13,15,27,49,34,44,47,47
"YER038W-A",1,0,0.5,0,0,0,0,0,0,0.5,1,0
"YER057C",11,8,14,4,1,4,10,14.5,4,24,15,12
"YEL033W",92.17,85.83,98.92,6,6,7,123.33,144.5,93.83,110.5,136.17,139
"YER006W",40,34,32,29,17,10,39,44,37,49,50,62
"YER007W",7,4,10.5,2,1,2,5,3,1.5,8,7,5
"YER078W-A",1,0,0,0,0,0,0,0,0,0,0,0
"tA(UGC)E",10.94,16.13,13.29,17.33,8.77,8.25,9,7.84,3.1,11.28,9.53,8.3
"YEL002C",33,35,44,6,8,6,36,51,37,45,45,42
"YEL064C",0,2,0,27,9,21,2,7,5,3,6,1
"YER103W",34,20.25,31.17,437,293.5,320,18,15,14.5,8,11,12
"YER007C-A",15,16,18,3,1,4,16,18,11,14,21,18
"snR80",14,9,4,7,6,5,10,7,9,9,11,8
"YER093C-A",3,0,3,0,0,0,2,2,3,3,4,1
