string_suffix,1h_rep1,1h_rep2,1h_rep3,3h_rep1,3h_rep 2,3h_rep3,5h_rep1,5h_rep 2,5h_rep3,7h_rep1,7h_rep2
YDR038C,886.536,891.748,870.305,3316.39,3433.27,3410.58,3776.26,3671.72,3985.83,4671.38,4457.5
YGL122C,902.798,871.893,882.576,1852.37,1911.58,1842.79,2074.93,2107.82,2175.31,2407.29,2226.63
YDR129C,949.528,816.964,895.264,3693.25,3983.9,3997.41,6292.67,6485.88,6832.46,7728.83,7871.31
YOR356W,933.455,816.727,911.578,2458.82,2733.16,2523.25,3856.32,3860.48,4269.92,4042.7,4322.75
YHR108W,927.117,791.737,947.327,3172.77,3629.86,3395.65,5324.93,5175.99,6037.16,5683.55,6373.45
YLR109W,941.406,780.521,946.603,2838.12,3161.68,2746.67,5820.3,5383.98,6452.11,6239.06,7057.45
YHR104W,889.022,848.085,934.685,4296.19,4332.71,4554.09,8003.2,8773.89,8596.7,11490.2,10979.8
YLR309C,908.961,829.771,933.195,2979.27,3210.34,3126.25,4813.54,4992.57,5505.59,5335.4,5579.41
YNL010W,908.713,851.802,914.472,3063.29,3098.87,3225.37,4728.31,5282.43,5222,5512.32,5467.27
YGL048C,929.762,831.867,920.548,2455.32,2615.04,2492.25,3492.04,3538.79,3764.33,3432.21,3568.94
YPL037C,914.092,872.321,904.383,2698.34,2776.7,2976.2,3939.25,4677.67,4469.36,4370.48,3856.36
YIL053W,936.948,808.167,947.402,2699.8,2993.74,2845.85,4808.11,4830.89,5244.22,4874.53,5134.83
YPR184W,921.471,858.614,914.253,2561.79,2664.29,2618.38,4467.17,4688.72,4817.27,6298.57,6340.32
YDL075W,757.759,1129.2,816.747,4754.59,3265.57,3200.95,4371.92,4045.5,4614.34,5873.56,5678.62
YOL139C,927.941,845.764,934.472,2129.5,2414.02,2159.99,2826.05,2754.46,3107.9,2520.41,2796.07
YBR126C,950.536,842.615,917.994,2821.22,3005.13,2951.26,5255.62,5263.11,5613.31,6204.41,6549.1
YJL136C,887.364,880.918,948.575,1938.32,1926.94,2082.08,2156.07,2466.81,2344.71,1950.99,1795.31
YOR136W,923.665,834.907,964.209,3223.25,3620.94,3473.53,6150.97,6221.7,6942.06,7109.2,7503.19
YGR034W,920.614,838.83,966.947,3298.21,3541.85,3469.18,4449.44,4769.66,4944.67,5001.43,4995.75
YGR162W,941.042,831.542,957.737,2586.75,2818.03,2720.64,3307.07,3340.62,3608.84,3058.8,3183.2
YPL169C,939,872.615,922.001,3209.84,3211.51,3396.93,4200.44,4805.99,4762.21,4433.54,4310.61
YHR068W,963.255,825.561,949.355,2505.45,2759.28,2613.79,3492.58,3498,3959.88,3593.91,4012.06
YER073W,952.873,826.917,960.964,2579.68,2873.04,2682.83,4948.34,4825.54,5545.07,5285.1,5786.55
YDL078C,965.368,827.606,958.359,2365.26,2555.06,2487.51,4165.98,4334.3,4696.59,4765.48,5043.88
YOR187W,979.339,856.206,916.691,2952.42,3200.46,3028.88,4800.98,5083.76,5405.2,5381.77,5429.24
YNL212W,945.333,902.566,905.215,2368.25,2410.11,2432.21,2995.91,3139.17,3216.95,3608.28,3628.69
YNR043W,935.917,816.058,1001.8,3458.75,3602.38,3683.3,6030.78,6367.9,6502.07,7445.89,7111.21
YGL153W,952.121,872.061,944.426,2177.02,2364.52,2342.08,2759.24,2930.27,3165.82,2175.71,2249.98
YLR438W,953.428,874.154,946.731,3278.36,3396.64,3351.19,4613.27,4833.17,5077.58,5486.26,5653.85
YDR430C,977.031,864.874,940.189,3848.98,4145.73,3952.79,6082.28,6134.31,6696.79,6405.49,6616.54
YBR031W,976.449,884.382,933.504,3643.29,3680.54,3607.79,5071.75,5391.65,5598.99,5755.56,5882.18
YBL092W,942.87,887.239,964.343,3362.91,3410.28,3497.79,4598.86,5066.83,5070.74,4339.13,4079.8
YMR062C,958.538,908.557,936.303,2321.5,2374.31,2415.09,5648.56,6117.16,6374.74,7950.65,7974.75
YDR035W,971.987,868.143,964.087,2127.98,2466.19,2252.79,3979.33,3988.13,4532.51,4988.25,5417.43
YPR129W,957.697,924.156,925.928,2459.51,2497.12,2637.87,3415.18,3854.16,3966.92,3614,3533.65
YBL058W,969.803,870.297,967.701,2922.88,3103.56,3091.75,4120.75,4348.22,4537.32,4454.05,4615.05
YNL123W,955.687,918.55,937.273,3690.22,3798.37,3892.7,5431.5,5880.27,5901.39,6377.77,6116.75
YHL001W,928.851,903.793,981.819,3670.06,3671.65,4064.63,5221.13,6006.09,6055.89,6784,6403.35
YCL035C,947.15,917.171,955.449,2260.63,2358.5,2413.2,4939.66,5507.55,5812.09,6136.38,5890.27
YOR095C,1006.93,864.709,961.315,1582.65,1739.32,1658.15,1620.77,1734.66,1784.28,1510.57,1522.35
YIL138C,954.736,976.175,904.329,452.063,486.813,456.65,685.313,735.918,709.249,742.705,782.148
YML008C,966.579,936.476,945.509,3413.41,3447.77,3594.6,6133.65,6757.31,6734.4,8661.03,8399.65
YER067W,1022.77,862.402,965.253,1047.13,1173.5,1085.87,1610.47,1613.35,1777.33,2918.83,3228.45
YAL044C,965.244,855.684,1034.31,2313.19,2523.48,2518.35,3874.51,3956.98,4352.11,4296.64,4346.69
YGL123W,975.573,949.865,930.372,2999.85,2957.6,3110.74,4259.27,4743.1,4817.6,5946.79,5758.46
YOR184W,994.697,876.034,990.988,2947.82,3198.52,3145.62,6035.66,6350.11,6834.86,7297.43,7500.91
YBR249C,958.093,921.812,992.673,2658.26,2797.12,2832.96,5589.67,6035.98,6217.43,7341.32,7194.36
