string_external_id	abundance
4932.YNL015W	465
4932.YFL018C	465
4932.YOL143C	460
4932.YNR001C	460
4932.YER103W	459
4932.YGR061C	456
4932.YKL117W	456
4932.YLR390W-A	455
4932.YML106W	453
4932.YHR068W	452
4932.YER025W	452
4932.YJR007W	452
4932.YER003C	450
4932.YMR260C	450
4932.YPL218W	449
4932.YBR286W	448
4932.YDR341C	444
4932.YJL172W	441
4932.YFR044C	440
4932.YER009W	434
4932.YDR513W	431
4932.YHR008C	429
4932.YGL206C	426
4932.YLR301W	424
4932.YPR183W	420
4932.YCL035C	419
4932.YDR172W	419
4932.YFL022C	419
4932.YGL037C	418
4932.YPR191W	417
4932.YDR510W	415
4932.YHR025W	415
4932.YLR262C-A	406
4932.YER062C	401
4932.YMR146C	400
4932.YBR221C	397
4932.YLL039C	392
4932.YER133W	392
4932.YDL184C	388
4932.YKL080W	387
4932.YNL208W	386
4932.YBR263W	385
4932.YDR129C	384
4932.YBL039C	384
4932.YHR128W	383
4932.YCL009C	382
4932.YNL071W	380
4932.YPR033C	380
4932.YML078W	379
4932.YCL037C	378
4932.YNL134C	374
4932.YIR034C	374
4932.YLR438W	370
4932.YLR175W	368
4932.YHR018C	367
4932.YKL054C	367
4932.YGL106W	367
4932.YPL225W	366
4932.YCR088W	366
4932.YBL045C	366
4932.YHR072W-A	365
4932.YPL145C	364
4932.YDR399W	363
4932.YER055C	361
4932.YER052C	361
4932.YHR087W	361
4932.YOR361C	361
4932.YDL131W	360
4932.YMR309C	359
4932.YML022W	359
4932.YML056C	358
4932.YPR149W	356
4932.YDL125C	356
4932.YIR037W	353
4932.YEL020W-A	353
4932.YOR142W	350
4932.YML123C	349
4932.YPL226W	348
4932.YAL035W	347
4932.YDR127W	347
4932.YOR168W	346
4932.YOR317W	346
4932.YMR038C	345
4932.YGL137W	344
4932.YNL113W	343
4932.YBR085C-A	341
4932.YMR318C	340
4932.YDR368W	339
4932.YMR012W	339
4932.YIL094C	339
4932.YKL009W	332
4932.YLR359W	331
4932.YNL241C	331
4932.YMR314W	328
4932.YGR253C	328
4932.YPL271W	327
4932.YPR036W	325
4932.YPL111W	324
4932.YOR270C	324
4932.YDL145C	323
4932.YML070W	321
4932.YCR024C-A	321
4932.YPR052C	320
4932.YBR218C	320
4932.YEL047C	320
4932.YOR323C	320
4932.YDL100C	320
4932.YGL011C	319
4932.YER120W	318
4932.YER136W	317
4932.YNL138W	317
4932.YBL075C	317
4932.YJL008C	316
4932.YAR015W	315
4932.YMR173W	314
4932.YNL104C	314
4932.YDL143W	313
4932.YPR165W	311
4932.YBR126C	310
4932.YOR285W	310
4932.YBR039W	309
4932.YER081W	308
4932.YNL037C	307
4932.YDL171C	307
4932.YMR235C	307
4932.YML092C	307
4932.YNL016W	306
4932.YPL091W	306
4932.YJL200C	306
4932.YMR295C	306
4932.YOR187W	305
4932.YDR529C	303
4932.YPR062W	301
4932.YHR005C-A	300
4932.YBR088C	300
4932.YJR148W	299
4932.YEL021W	299
4932.YDR487C	298
4932.YER090W	296
4932.YNL121C	294
4932.YDR035W	294
4932.YMR315W	294
4932.YOR362C	293
4932.YML085C	293
4932.YML012W	293
4932.YPR110C	292
4932.YHR104W	292
4932.YNR043W	290
4932.YCR028C-A	290
4932.YNL287W	289
4932.YDL208W	289
4932.YMR099C	289
4932.YLR208W	286
4932.YCR009C	286
4932.YKR001C	286
4932.YOR259C	285
4932.YHR143W-A	285
4932.YFL038C	285
4932.YCR004C	285
4932.YPL078C	284
4932.YLR244C	284
4932.YER126C	283
4932.YMR105C	282
4932.YDL195W	280
4932.YKR043C	280
4932.YGR175C	279
4932.YKL016C	277
4932.YKL071W	276
4932.YOL097C	276
4932.YBL024W	273
4932.YBR248C	273
4932.YBL026W	270
4932.YGR162W	270
4932.YHR051W	270
4932.YBR149W	268
4932.YPL117C	267
4932.YGR020C	267
4932.YDR345C	266
4932.YLR192C	265
4932.YPL237W	265
4932.YER031C	265
4932.YDR429C	265
4932.YDR091C	264
4932.YMR202W	262
4932.YJL014W	261
4932.YIL138C	260
4932.YLR028C	259
4932.YNL141W	259
4932.YOR346W	258
4932.YDL078C	258
4932.YKL150W	258
4932.YIL142W	257
4932.YBR244W	257
4932.YKR048C	256
4932.YLR378C	255
4932.YKL096W-A	255
4932.YML074C	254
4932.YPR028W	254
4932.YNL014W	253
4932.YEL027W	253
4932.YHR049W	252
4932.YIL043C	252
4932.YMR241W	252
4932.YDL160C	252
4932.YFL034C-A	251
4932.YPL262W	249
4932.YNL044W	248
4932.YDL133C-A	248
4932.YNL303W	247
4932.YJL012C	246
4932.YEL017C-A	246
4932.YHR042W	246
4932.YKL212W	245
4932.YBR111C	245
4932.YER073W	245
4932.YHR052W	245
4932.YGR211W	245
4932.YMR123W	245
4932.YKL142W	244
4932.YNL247W	243
4932.YGR279C	242
4932.YKL196C	242
4932.YDR212W	242
4932.YJR064W	241
4932.YDR190C	241
4932.YER069W	241
4932.YER006W	240
4932.YMR246W	240
4932.YDR174W	238
4932.YER086W	238
4932.YPR108W	238
4932.YDR346C	238
4932.YOL059W	238
4932.YPL273W	238
4932.YNL098C	236
4932.YPL093W	236
4932.YHR007C	236
4932.YOR341W	235
4932.YPR010C	234
4932.YNL281W	234
4932.YLR347C	232
4932.YJL217W	232
4932.YOR210W	231
4932.YDR086C	228
4932.YOL038W	228
4932.YDR304C	228
4932.YOR153W	227
4932.YLR447C	227
4932.YJR010W	227
4932.YOR209C	226
4932.YLR370C	226
4932.YCL028W	225
4932.YEL001C	225
4932.YJR065C	224
4932.YDL147W	224
4932.YCL064C	223
4932.YGL200C	222
4932.YPR016C	221
4932.YOR157C	220
4932.YDL097C	218
4932.YMR229C	218
4932.YKL104C	218
4932.YOL012C	217
4932.YLR186W	217
4932.YGR135W	216
4932.YFL005W	216
4932.YNL160W	215
4932.YKL033W-A	214
4932.YOR261C	214
4932.YGL068W	213
4932.YLR413W	213
4932.YIL074C	213
4932.YKR014C	213
4932.YOR117W	213
4932.YJR063W	212
4932.YOR046C	211
4932.YGL187C	210
4932.YOR276W	210
4932.YGL078C	208
4932.YDR101C	208
4932.YDR214W	205
4932.YMR297W	205
4932.YJL111W	205
4932.YGL173C	205
4932.YGL207W	204
4932.YKL192C	204
4932.YFR052W	203
4932.YNL308C	203
4932.YLR372W	203
4932.YMR062C	202
4932.YDR238C	202
4932.YIL062C	201
4932.YGL195W	200
4932.YNR034W-A	200
4932.YMR300C	199
4932.YEL031W	199
4932.YGR167W	199
4932.YNR035C	199
4932.YNR053C	198
4932.YOL140W	198
4932.YML001W	198
4932.YAR002C-A	196
4932.YJR069C	196
4932.YER012W	196
4932.YJL001W	195
4932.YNL061W	195
4932.YDR019C	195
4932.YOR128C	195
4932.YLR196W	194
4932.YIL075C	194
4932.YHR146W	194
4932.YPL059W	193
4932.YIL125W	192
4932.YBR035C	191
4932.YMR002W	191
4932.YMR203W	191
4932.YML052W	191
4932.YKL157W	190
4932.YPR181C	190
4932.YPR060C	190
4932.YDR388W	189
4932.YML086C	189
4932.YDR074W	188
4932.YBR115C	188
4932.YGR103W	188
4932.YHR190W	188
4932.YJL041W	188
4932.YOR176W	188
4932.YBR159W	188
4932.YGR008C	187
4932.YGL048C	187
4932.YKL145W	187
4932.YFR004W	187
4932.YOR151C	187
4932.YKL024C	187
4932.YIL076W	186
4932.YKL211C	186
4932.YOR232W	186
4932.YEL037C	186
4932.YBR101C	185
4932.YIL033C	185
4932.YBR283C	185
4932.YGR169C-A	183
4932.YLR420W	183
4932.YAL016W	183
4932.YEL051W	183
4932.YOL123W	182
4932.YOR108W	182
4932.YJL121C	181
4932.YGR060W	181
4932.YDL051W	180
4932.YFL010C	180
4932.YBR034C	179
4932.YER146W	179
4932.YMR145C	179
4932.YGL157W	178
4932.YOL144W	177
4932.YDL085C-A	177
4932.YHR047C	176
4932.YMR131C	176
4932.YHR200W	176
4932.YLR257W	176
4932.YFR050C	176
4932.YMR058W	176
4932.YDL029W	176
4932.YFR009W	176
4932.YDR234W	175
4932.YCL018W	175
4932.YDR343C	175
4932.YLR295C	175
4932.YDR508C	175
4932.YNL131W	175
4932.YGR173W	174
4932.YKL181W	174
4932.YGL062W	173
4932.YGL120C	173
4932.YML125C	173
4932.YDL226C	173
4932.YLR300W	172
4932.YBR089C-A	172
4932.YDR188W	172
4932.YHL011C	172
4932.YPR004C	171
4932.YDR427W	171
4932.YAL036C	171
4932.YDR258C	171
4932.YOR254C	171
4932.YDR152W	171
4932.YEL024W	170
4932.YBR154C	170
4932.YLR314C	170
4932.YDR156W	169
4932.YDL168W	169
4932.YKL096W	169
4932.YBL047C	169
4932.YBL015W	169
4932.YKR080W	169
4932.YFR010W	168
4932.YJL173C	168
4932.YHR163W	168
4932.YGR132C	168
4932.YPL010W	168
4932.YGL055W	166
4932.YBR084W	166
4932.YDL198C	166
4932.YHR137W	165
4932.YKR042W	165
4932.YFR051C	165
4932.YMR031C	164
4932.YER112W	164
4932.YJR014W	163
4932.YOR303W	163
4932.YMR290C	162
4932.YER094C	162
4932.YKR092C	161
4932.YDR483W	161
4932.YLR038C	160
4932.YKL029C	160
4932.YJL055W	160
4932.YGL122C	160
4932.YPL019C	159
4932.YNL189W	159
4932.YPL260W	158
4932.YOR089C	158
4932.YLR421C	158
4932.YML072C	158
4932.YOR065W	158
4932.YDR062W	157
4932.YBL032W	157
4932.YLR270W	157
4932.YHR216W	157
4932.YDL135C	157
4932.YGL097W	156
4932.YNL231C	156
4932.YML048W	156
4932.YGR244C	155
4932.YDR168W	153
4932.YHR170W	153
4932.YMR092C	153
4932.YNR021W	153
4932.YPL063W	153
4932.YML124C	152
4932.YMR276W	152
4932.YLR178C	152
4932.YDL140C	152
4932.YDR533C	151
4932.YPR020W	151
4932.YGL054C	151
4932.YML100W	151
4932.YHR196W	151
4932.YDL213C	150
4932.YOR265W	150
4932.YOL041C	149
4932.YLR256W-A	149
4932.YML069W	149
4932.YDL103C	149
4932.YGL040C	149
4932.YGR054W	149
4932.YMR189W	148
4932.YOL111C	148
4932.YDR378C	148
4932.YER007C-A	148
4932.YEL002C	147
4932.YBL036C	147
4932.YPL235W	147
4932.YOR086C	146
4932.YLR342W	146
4932.YPL239W	146
4932.YPR133W-A	146
4932.YOR286W	145
4932.YML058W	145
4932.YBR169C	145
4932.YLR335W	145
4932.YNL175C	145
4932.YDR232W	144
4932.YLR449W	144
4932.YLR229C	144
4932.YDR322C-A	144
4932.YIL109C	144
4932.YNL243W	144
4932.YKR081C	144
4932.YEL013W	143
4932.YBL050W	143
4932.YDR380W	143
4932.YOL151W	143
4932.YNL307C	143
4932.YDL040C	143
4932.YDL052C	143
4932.YDL007W	142
4932.YMR157C	142
4932.YMR011W	142
4932.YGR218W	142
4932.YNL248C	142
4932.YDR328C	142
4932.YMR093W	141
4932.YBL064C	141
4932.YJR017C	140
4932.YJL122W	140
4932.YKL127W	140
4932.YIL022W	139
4932.YDR394W	139
4932.YPL127C	139
4932.YER156C	139
4932.YHR039C	139
4932.YFL004W	139
4932.YDR321W	138
4932.YER072W	138
4932.YOR271C	138
4932.YOR173W	138
4932.YGR082W	138
4932.YFR001W	137
4932.YOR272W	137
4932.YJL140W	137
4932.YPR118W	137
4932.YOR095C	137
4932.YDR148C	136
4932.YOR197W	136
4932.YOR239W	136
4932.YDR077W	135
4932.YKR066C	135
4932.YGR207C	135
4932.YGL001C	135
4932.YBR052C	134
4932.YJR047C	134
4932.YDL236W	134
4932.YMR183C	134
4932.YKL120W	133
4932.YKL040C	132
4932.YGR130C	132
4932.YJL124C	132
4932.YBR177C	132
4932.YJR060W	132
4932.YAL007C	132
4932.YNR046W	131
4932.YDL181W	131
4932.YLR200W	131
4932.YOR283W	130
4932.YNL002C	130
4932.YBR068C	130
4932.YJL088W	130
4932.YBL041W	130
4932.YPR187W	129
4932.YLL041C	129
4932.YGL087C	129
4932.YHR037W	129
4932.YDR361C	129
4932.YIL070C	128
4932.YGR181W	128
4932.YJL002C	128
4932.YHR108W	128
4932.YPL211W	128
4932.YPR063C	128
4932.YFR037C	127
4932.YJR117W	127
4932.YBL058W	127
4932.YGL043W	127
4932.YLR429W	127
4932.YOR224C	127
4932.YJL117W	127
4932.YDR177W	127
4932.YGR106C	126
4932.YOR326W	126
4932.YDL095W	126
4932.YPL243W	126
4932.YCR084C	126
4932.YCL057W	126
4932.YEL042W	125
4932.YKL172W	125
4932.YAL060W	124
4932.YGL099W	124
4932.YGL221C	124
4932.YOL077C	124
4932.YER063W	124
4932.YIL021W	124
4932.YDR120C	124
4932.YPR170W-B	123
4932.YOL064C	122
4932.YOR327C	122
4932.YGR231C	122
4932.YOL061W	122
4932.YEL058W	121
4932.YDL072C	121
4932.YDR211W	121
4932.YGR256W	121
4932.YOR061W	121
4932.YOR206W	120
4932.YMR015C	120
4932.YER087C-B	120
4932.YEL039C	120
4932.YJR076C	120
4932.YDL004W	119
4932.YOR340C	119
4932.YHL021C	118
4932.YML120C	118
4932.YDR044W	118
4932.YOR051C	118
4932.YLR438C-A	118
4932.YBL007C	118
4932.YGR078C	118
4932.YIR006C	118
4932.YHR107C	117
4932.YNR017W	117
4932.YDR496C	117
4932.YDR300C	117
4932.YBR214W	117
4932.YER042W	116
4932.YGL167C	116
4932.YER048C	116
4932.YER048W-A	116
4932.YJL159W	116
4932.YIL034C	116
4932.YBR247C	116
4932.YBR162C	115
4932.YLR160C	115
4932.YGR208W	115
4932.YNL132W	115
4932.YGR128C	115
4932.YOR039W	115
4932.YNL312W	115
4932.YGL225W	114
4932.YDR087C	114
4932.YCL059C	114
4932.YNL239W	114
4932.YOL005C	114
4932.YDL046W	114
4932.YOR099W	113
4932.YLR248W	113
4932.YJL148W	113
4932.YER021W	113
4932.YDR519W	113
4932.YER089C	113
4932.YKL007W	113
4932.YDR299W	112
4932.YLR113W	112
4932.YBR164C	112
4932.YDR408C	112
4932.YKR035W-A	112
4932.YBL091C	112
4932.YJL123C	112
4932.YBR230C	112
4932.YBR234C	111
4932.YGR229C	111
4932.YLR056W	111
4932.YMR074C	111
4932.YBL056W	111
4932.YMR251W-A	111
4932.YBR126W-A	111
4932.YML128C	111
4932.YPL234C	111
4932.YKL103C	110
4932.YOR021C	110
4932.YBR026C	110
4932.YJR025C	110
4932.YMR296C	110
4932.YJR144W	109
4932.YGR195W	109
4932.YPR160W	109
4932.YER056C	109
4932.YDR272W	109
4932.YGL115W	109
4932.YOR091W	108
4932.YER004W	108
4932.YML010W	108
4932.YMR261C	108
4932.YCR083W	107
4932.YCR002C	107
4932.YLR258W	107
4932.YDR424C	107
4932.YKR046C	106
4932.Q0250	106
4932.YJR072C	106
4932.YGR019W	106
4932.YMR049C	106
4932.YDL015C	105
4932.YJL158C	105
4932.YJR125C	105
4932.YPL012W	104
4932.YKL013C	104
4932.YPL210C	104
4932.YGR275W	104
4932.YGR116W	104
4932.YBR160W	104
4932.YPL212C	104
4932.YEL030W	104
4932.YAR007C	104
4932.YER134C	104
4932.YIL136W	104
4932.YML094W	103
4932.YBR049C	103
4932.YBR080C	103
4932.YGL112C	103
4932.YJL068C	103
4932.YBR054W	103
4932.YNL117W	103
4932.YLR022C	103
4932.YLR380W	102
4932.YGL238W	102
4932.YOR347C	102
4932.YER080W	102
4932.YMR178W	102
4932.YGR001C	102
4932.YPL135W	102
4932.YHR063C	102
4932.YER002W	102
4932.YLR172C	101
4932.YMR243C	101
4932.YDL086W	100
4932.YNL157W	100
4932.YOL030W	100
4932.YPL257W-A	100
4932.YPL129W	99.8
4932.YER122C	99.6
4932.YDR165W	99.4
4932.YMR149W	99.4
4932.YBR222C	99.3
4932.YDR194C	99.1
4932.YER067W	99.0
4932.YDR365C	99.0
4932.YGL228W	98.6
4932.YKL148C	98.5
4932.YNL110C	98.5
4932.YLR351C	98.3
4932.YHR001W-A	98.3
4932.YKR016W	98.2
4932.YHR215W	98.1
4932.YNL153C	98.0
4932.YBR058C-A	98.0
4932.YHR121W	98.0
4932.YDR395W	97.9
4932.YOR356W	97.8
4932.YGR187C	97.2
4932.YHR013C	97.1
4932.YIR038C	97.1
4932.YBR252W	96.7
4932.YIL118W	96.7
4932.YBR256C	96.6
4932.YHR024C	96.5
4932.YKL126W	96.4
4932.YEL060C	96.3
4932.YGR215W	96.1
4932.YDR294C	95.9
4932.YBL022C	95.9
4932.YLR100W	95.7
4932.YDR092W	95.5
4932.YFL016C	95.5
4932.YER049W	95.4
4932.YJL109C	95.3
